,animal_type,breed,color,age_upon_outcome,sex_upon_outcome,year,month,day,hour
0,0,16.0,85.0,5110,1.0,2016,5,8,743
1,1,51.0,17.0,120,2.0,2016,1,9,1067
2,1,4.0,22.0,28,4.0,2017,7,5,877
3,3,68.0,4.0,14,3.0,2017,7,15,916
4,0,5.0,4.0,30,2.0,2017,12,9,0
5,1,4.0,22.0,730,2.0,2014,6,18,540
6,0,628.0,92.0,1460,0.0,2016,1,24,908
7,1,4.0,48.0,60,0.0,2013,12,20,1111
8,0,,8.0,365,0.0,2016,8,16,1100
9,1,4.0,7.0,60,0.0,2016,10,5,1140
10,0,2.0,112.0,730,1.0,2015,8,14,802
11,1,4.0,16.0,730,2.0,2014,9,4,1026
12,1,4.0,7.0,30,2.0,2016,10,8,558
13,0,430.0,24.0,1095,1.0,2015,2,8,848
14,0,2.0,32.0,1095,0.0,2017,2,10,683
15,0,375.0,24.0,730,0.0,2014,7,18,1054
16,1,4.0,69.0,365,2.0,2016,12,4,967
17,1,4.0,3.0,4380,2.0,2017,9,8,848
18,1,51.0,12.0,60,2.0,2015,6,29,1088
19,1,4.0,12.0,28,4.0,2015,10,8,825
20,1,4.0,12.0,7,3.0,2017,3,22,897
21,0,32.0,32.0,730,4.0,2017,8,26,1103
22,0,10.0,12.0,150,2.0,2015,6,15,655
23,0,13.0,160.0,1095,4.0,2014,9,15,1116
24,0,626.0,28.0,240,0.0,2013,11,23,983
25,0,10.0,5.0,730,0.0,2017,4,30,1144
26,1,4.0,52.0,90,1.0,2016,9,12,790
27,0,43.0,72.0,365,1.0,2016,3,24,1146
28,1,4.0,12.0,90,1.0,2014,11,29,847
29,0,116.0,6.0,270,0.0,2015,2,22,847
30,1,4.0,2.0,90,1.0,2017,8,21,1060
31,0,10.0,61.0,120,2.0,2014,2,10,998
32,1,4.0,3.0,730,0.0,2016,6,10,661
33,0,2.0,12.0,1825,1.0,2017,3,10,1028
34,1,4.0,7.0,730,4.0,2015,10,7,540
35,1,4.0,3.0,2190,0.0,2016,5,5,1140
36,0,126.0,18.0,2555,0.0,2016,9,6,701
37,1,4.0,88.0,60,0.0,2017,7,26,858
38,0,10.0,0.0,2190,0.0,2014,1,16,768
39,0,299.0,9.0,730,1.0,2014,3,13,693
40,0,60.0,9.0,730,1.0,2016,3,1,601
41,0,17.0,18.0,60,2.0,2017,5,3,888
42,0,159.0,9.0,60,4.0,2016,3,21,1086
43,0,108.0,18.0,1825,1.0,2015,6,3,697
44,1,4.0,7.0,730,1.0,2016,4,1,979
45,0,1098.0,112.0,365,2.0,2017,4,7,718
46,0,373.0,9.0,120,4.0,2014,9,14,1050
47,0,60.0,9.0,2190,1.0,2014,5,31,778
48,1,51.0,5.0,1095,0.0,2015,8,30,802
49,2,1698.0,5.0,365,4.0,2015,12,20,715
