animal_id,outcome_type
A725807,Return to Owner
A713176,Transfer
A752992,Transfer
A753923,Transfer
A763405,Transfer
A681481,Transfer
A719337,Adoption
A666790,Adoption
A732458,Adoption
A735680,Adoption
A709517,Adoption
A687276,Transfer
A736183,Transfer
A695995,Adoption
A742996,Return to Owner
A683095,Adoption
A739559,Transfer
A757847,Transfer
A704977,Adoption
A713398,Transfer
A745699,Transfer
A756791,Return to Owner
A704942,Transfer
A687985,Return to Owner
A667545,Adoption
A745199,Adoption
A733256,Adoption
A722233,Adoption
A692240,Adoption
A697352,Adoption
A751037,Adoption
A672441,Transfer
A728857,Transfer
A744945,Adoption
A713378,Transfer
A725431,Adoption
A734353,Return to Owner
A753156,Adoption
A660255,Return to Owner
A674433,Return to Owner
A717437,Adoption
A748245,Transfer
A722724,Transfer
A704011,Return to Owner
A723187,Adoption
A746650,Transfer
A687817,Transfer
A680054,Return to Owner
A638551,Adoption
A707251,Transfer
A719632,Adoption
A669376,Adoption
A607459,Return to Owner
A714147,Adoption
A743130,Adoption
A729771,Adoption
A736138,Euthanasia
A679936,Adoption
A750342,Transfer
A709009,Return to Owner
A672163,Adoption
A685180,Adoption
A696105,Adoption
A726076,Adoption
A588582,Return to Owner
A706607,Adoption
A664664,Return to Owner
A692974,Adoption
A702956,Adoption
A698972,Return to Owner
A629187,Adoption
A722674,Euthanasia
A706606,Transfer
A737760,Return to Owner
A707387,Transfer
A712466,Transfer
A712929,Adoption
A720372,Transfer
A686871,Transfer
A735902,Transfer
A765350,Adoption
A731345,Adoption
A707427,Adoption
A701888,Adoption
A682384,Adoption
A698478,Adoption
A716507,Return to Owner
A748578,Return to Owner
A742744,Adoption
A674986,Return to Owner
A691535,Return to Owner
A730326,Adoption
A707870,Transfer
A683776,Transfer
A756164,Adoption
A755294,Return to Owner
A641952,Return to Owner
A757493,Adoption
A724651,Adoption
A667517,Transfer
A668864,Adoption
A740623,Adoption
A730185,Adoption
A732068,Return to Owner
A691868,Return to Owner
A756839,Adoption
A702830,Adoption
A702320,Transfer
A757636,Return to Owner
A705659,Transfer
A760817,Euthanasia
A674167,Adoption
A683296,Adoption
A715745,Transfer
A501071,Adoption
A713465,Adoption
A753012,Return to Owner
A728031,Transfer
A688693,Adoption
A739121,Adoption
A738212,Adoption
A674664,Euthanasia
A684592,Return to Owner
A746990,Return to Owner
A693942,Return to Owner
A721753,Adoption
A742289,Return to Owner
A711002,Adoption
A761405,Adoption
A683593,Adoption
A711123,Transfer
A707092,Adoption
A735845,Adoption
A728723,Euthanasia
A726564,Adoption
A739482,Transfer
A718227,Adoption
A558754,Return to Owner
A736836,Adoption
A686029,Euthanasia
A755366,Transfer
A670358,Transfer
A548112,Return to Owner
A680509,Adoption
A701553,Adoption
A733950,Euthanasia
A665743,Adoption
A674649,Transfer
A693466,Adoption
A708898,Adoption
A721931,Euthanasia
A721442,Return to Owner
A743611,Adoption
A674298,Adoption
A658786,Adoption
A726722,Adoption
A706270,Transfer
A690113,Adoption
A717058,Return to Owner
A692976,Return to Owner
A713650,Transfer
A746309,Adoption
A748765,Transfer
A711037,Transfer
A727743,Adoption
A735677,Transfer
A665892,Transfer
A740259,Adoption
A688453,Adoption
A711732,Adoption
A724756,Transfer
A699586,Transfer
A668492,Return to Owner
A682501,Adoption
A727465,Transfer
A761150,Adoption
A663696,Adoption
A672004,Adoption
A733009,Adoption
A725577,Adoption
A712589,Adoption
A710830,Transfer
A750419,Adoption
A749316,Adoption
A736268,Adoption
A729264,Adoption
A701340,Euthanasia
A675889,Transfer
A667041,Adoption
A746560,Adoption
A690043,Adoption
A682675,Transfer
A736911,Adoption
A666672,Adoption
A711883,Transfer
A728200,Adoption
A680722,Adoption
A671846,Adoption
A722142,Adoption
A738791,Adoption
A715498,Adoption
A695858,Euthanasia
A745740,Adoption
A734712,Adoption
A677408,Adoption
A484400,Return to Owner
A708192,Transfer
A307010,Return to Owner
A738562,Adoption
A716970,Adoption
A744767,Euthanasia
A761995,Adoption
A762875,Adoption
A754085,Adoption
A760930,Adoption
A753977,Adoption
A737555,Euthanasia
A738378,Return to Owner
A749510,Transfer
A679867,Return to Owner
A718034,Adoption
A712811,Adoption
A726030,Return to Owner
A749419,Adoption
A503957,Transfer
A755213,Adoption
A707584,Transfer
A686143,Transfer
A686561,Adoption
A690962,Transfer
A415049,Return to Owner
A733109,Return to Owner
A758702,Transfer
A702598,Adoption
A736125,Transfer
A762427,Adoption
A764905,Adoption
A724687,Adoption
A736063,Adoption
A713415,Adoption
A752169,Euthanasia
A678586,Transfer
