,animal_type,breed,color,age_upon_outcome,sex_upon_outcome,year,month,day,hour
0,0,0,0,150,0,2014,7,4,1027
1,0,1,0,365,1,2017,3,30,987
2,0,2,1,2920,1,2017,1,8,1112
3,0,3,2,30,0,2015,11,13,1033
4,1,4,3,365,2,2016,4,10,1103
5,0,5,4,2920,1,2014,3,23,1091
6,0,6,5,365,0,2014,12,16,1029
7,2,7,6,180,3,2014,6,30,550
8,2,7,6,730,3,2013,11,24,530
9,1,4,7,365,1,2016,4,16,963
10,0,8,8,730,1,2015,5,22,985
11,0,9,9,5475,0,2014,3,17,703
12,0,10,10,14,2,2016,6,22,0
13,0,11,11,1460,1,2014,12,14,726
14,0,12,12,1095,0,2014,9,22,1127
15,0,13,13,730,1,2017,12,23,938
16,1,4,5,30,4,2016,6,24,0
17,0,8,14,90,1,2015,9,27,1087
18,1,4,15,21,2,2016,5,8,977
19,0,14,5,210,1,2014,12,16,807
20,0,15,12,730,1,2015,3,8,682
21,1,4,15,90,1,2016,2,4,1024
22,1,4,16,90,0,2017,8,16,0
23,1,4,17,7,2,2015,6,26,730
24,1,4,5,30,4,2016,5,10,600
25,1,4,11,365,1,2016,6,11,999
26,0,2,18,300,1,2014,6,4,856
27,0,16,10,150,0,2016,11,11,1037
28,0,17,19,4015,0,2016,1,18,907
29,0,18,20,365,0,2015,11,12,1138
30,0,19,6,28,2,2014,3,17,693
31,0,5,0,365,0,2014,10,18,804
32,0,20,9,365,4,2017,7,11,0
33,1,21,3,90,2,2014,8,31,540
34,2,7,6,365,3,2014,8,16,177
35,0,10,0,1460,0,2017,6,21,731
36,0,22,21,730,0,2017,3,5,1031
37,0,23,5,180,0,2014,11,9,995
38,1,4,7,730,1,2016,10,9,1089
39,0,17,18,60,0,2013,11,4,911
40,1,4,5,14,4,2014,5,21,827
41,1,4,17,60,1,2013,10,6,1114
42,0,10,22,365,2,2014,12,13,490
43,1,4,22,3,2,2014,6,28,812
44,1,4,15,2555,1,2017,5,30,602
45,1,4,23,730,0,2016,12,3,732
46,1,4,5,60,1,2014,8,21,674
47,0,24,24,210,4,2015,12,17,1020
48,1,21,12,730,3,2016,5,21,514
49,0,25,4,60,0,2018,1,22,1063
50,1,4,25,4745,0,2015,11,29,1157
51,1,4,3,2190,0,2017,3,3,920
52,2,26,5,730,3,2015,9,24,957
53,1,27,26,5110,1,2016,2,14,1111
54,0,28,14,365,1,2014,11,25,722
55,0,16,4,1825,1,2015,6,4,1054
56,2,29,27,365,3,2014,2,16,800
57,0,17,14,180,1,2016,7,10,734
58,0,30,28,60,1,2015,6,11,773
59,1,4,15,60,1,2016,8,7,988
60,0,31,29,2920,1,2016,2,26,690
61,1,4,2,60,0,2016,7,2,1025
62,0,32,14,365,1,2017,8,6,1135
63,1,4,12,120,0,2016,1,19,1041
64,2,33,4,28,3,2015,4,19,627
65,0,2,6,120,1,2018,1,25,1111
66,1,21,5,1460,3,2015,10,7,540
67,1,4,3,365,4,2015,3,29,945
68,1,4,30,90,0,2017,7,8,831
69,1,4,30,60,0,2016,8,15,1169
70,0,17,5,5,4,2017,4,11,1087
71,1,4,7,730,0,2017,12,2,820
72,0,17,18,730,0,2015,12,17,742
73,0,34,6,1095,0,2016,12,5,1101
74,0,35,12,1095,1,2015,11,10,684
75,0,36,31,730,0,2017,11,26,1012
76,0,17,24,1095,0,2017,5,21,1159
77,0,37,11,60,0,2016,9,28,1032
78,1,4,17,14,2,2016,5,22,889
79,0,2,32,1095,1,2014,7,17,897
80,1,4,3,365,1,2017,6,12,1161
81,1,4,5,730,2,2017,7,10,0
82,1,4,3,60,4,2017,8,18,785
83,1,38,33,60,1,2015,10,20,514
84,0,39,5,60,0,2014,6,19,705
85,2,40,9,210,4,2017,3,27,0
86,0,41,34,1460,0,2016,9,28,700
87,0,42,35,365,1,2016,3,18,1090
88,1,4,12,730,1,2013,11,5,1092
89,0,17,0,365,1,2014,11,26,731
90,0,5,8,4015,4,2015,6,1,734
91,1,4,36,60,0,2016,11,28,1094
92,1,4,12,120,4,2014,7,18,945
93,0,43,2,730,0,2016,5,9,0
94,1,44,16,365,2,2014,7,8,540
95,1,4,15,365,2,2015,9,23,540
96,0,25,23,730,0,2015,5,16,749
97,0,45,8,1095,0,2017,3,23,762
98,1,4,15,6,3,2017,7,17,1055
99,0,46,23,1825,1,2017,6,21,890
100,1,4,15,365,2,2014,11,1,540
101,0,17,0,1095,4,2017,8,26,942
102,0,17,14,730,4,2015,8,31,998
103,2,7,6,60,3,2014,3,26,828
104,2,33,6,150,3,2017,3,26,974
105,1,4,12,2920,0,2017,11,5,827
106,1,4,37,60,1,2014,5,27,1141
107,0,5,8,90,1,2017,1,22,1136
108,1,47,12,60,0,2015,7,19,994
109,1,48,38,730,0,2014,10,21,629
110,0,2,5,120,0,2015,1,31,667
111,0,49,39,4380,1,2017,2,4,1030
112,1,4,15,90,2,2016,9,14,632
113,2,7,6,365,3,2017,3,28,1094
114,0,50,5,120,0,2016,11,15,982
115,1,51,12,3285,1,2016,4,5,721
116,0,52,40,60,4,2014,5,7,707
117,1,4,16,365,3,2016,5,2,958
118,0,10,10,730,0,2017,5,4,761
119,2,33,32,365,3,2015,3,11,995
120,0,53,4,1460,1,2017,4,4,1143
121,1,4,5,730,1,2015,12,9,553
122,1,4,16,90,4,2014,1,27,985
123,0,54,11,365,0,2015,11,21,1043
124,0,16,14,60,1,2014,7,1,850
125,2,7,6,730,3,2014,1,26,528
126,0,10,5,365,1,2014,5,7,643
127,0,2,5,60,1,2014,8,19,1075
128,0,55,14,210,1,2015,2,2,1056
129,1,4,12,365,2,2017,8,13,778
130,0,42,41,60,1,2015,10,9,765
131,0,37,42,30,1,2014,6,16,1066
132,0,10,43,2190,0,2015,10,20,1050
133,0,42,44,180,0,2013,10,31,974
134,0,56,10,365,2,2015,2,12,961
135,0,57,41,300,0,2017,5,30,710
136,1,51,12,1825,1,2014,9,18,899
137,0,58,21,1825,1,2017,7,24,933
138,1,4,12,365,0,2016,1,20,801
139,1,4,5,365,4,2014,7,8,886
140,1,4,12,30,4,2014,11,13,1117
141,2,40,2,365,3,2015,4,11,686
142,1,4,16,1095,0,2015,8,8,540
143,0,2,12,365,4,2016,9,9,840
144,1,4,5,60,1,2017,7,20,1033
145,0,59,28,120,0,2014,9,29,688
146,0,60,45,1460,1,2017,2,3,1121
147,0,10,22,1460,4,2013,10,25,1048
148,0,61,46,365,0,2015,1,20,904
149,0,53,8,150,4,2016,11,12,1035
150,0,62,18,365,1,2014,5,7,844
151,0,17,8,1095,0,2015,8,20,668
152,0,2,47,730,0,2017,12,13,1104
153,1,4,48,90,0,2017,1,19,881
154,0,10,10,1460,2,2014,2,20,887
155,0,41,49,90,1,2017,7,28,863
156,0,5,4,30,2,2014,12,11,892
157,1,4,7,60,0,2017,7,1,897
158,1,4,22,30,4,2016,9,29,761
159,0,17,50,1825,2,2017,9,2,772
160,0,63,51,1825,0,2016,4,22,0
161,0,17,18,365,4,2013,10,16,1027
162,1,4,12,60,2,2016,11,6,820
163,0,64,28,300,2,2015,11,27,865
164,0,39,5,365,0,2016,5,25,1159
165,0,17,18,730,0,2016,3,29,953
166,1,4,3,4,3,2017,3,13,834
167,1,4,52,30,1,2017,9,5,1109
168,1,4,3,90,0,2017,1,17,868
169,0,10,21,730,1,2014,1,15,1031
170,0,10,0,730,4,2017,10,3,690
171,2,7,6,365,3,2017,7,12,1159
172,1,4,15,4380,1,2015,1,6,565
173,0,65,5,365,0,2015,5,1,561
174,0,66,0,1460,0,2016,4,9,1031
175,0,2,6,730,4,2016,11,27,1088
176,1,4,12,90,0,2013,10,2,1060
177,0,67,53,150,4,2015,10,31,827
178,0,10,21,60,1,2016,10,25,1138
179,2,33,6,365,3,2017,9,14,1042
180,0,17,50,1460,1,2017,5,30,1147
181,1,4,9,365,3,2016,10,13,957
182,0,17,6,365,0,2015,9,23,1004
183,0,5,4,60,1,2017,7,16,1091
184,3,68,9,210,4,2017,11,4,1117
185,0,17,19,240,1,2014,6,1,1023
186,0,69,6,365,1,2016,4,27,748
187,1,44,7,1095,2,2014,9,10,540
188,1,4,12,90,0,2016,7,9,1002
189,1,4,30,2190,0,2015,8,25,540
190,1,4,54,28,4,2017,4,28,786
191,0,17,11,1825,0,2014,9,8,970
192,1,4,3,150,2,2016,1,12,573
193,1,70,33,21,4,2015,5,17,906
194,1,4,7,730,1,2013,12,11,770
195,0,71,12,365,1,2013,10,7,793
196,0,72,55,730,2,2017,3,24,960
197,1,4,12,30,2,2014,6,9,773
198,1,4,12,7,3,2015,5,8,1021
199,1,4,30,730,0,2014,7,27,879
200,0,73,4,30,0,2015,1,30,1144
201,1,4,5,5,3,2016,7,28,882
202,0,74,43,1095,1,2015,5,25,932
203,1,4,12,365,3,2017,10,27,1183
204,1,4,22,60,4,2017,11,12,976
205,1,4,3,1095,0,2016,9,14,850
206,0,2,5,1825,0,2016,9,8,1018
207,0,17,0,730,0,2013,12,27,681
208,0,75,56,365,0,2015,3,23,700
209,1,21,7,150,1,2015,10,22,1039
210,1,4,57,14,2,2017,4,20,761
211,2,76,51,5,3,2015,5,5,933
212,0,24,19,730,1,2016,6,5,835
213,0,5,8,365,1,2014,10,12,833
214,0,77,14,270,4,2018,1,8,1086
215,0,2,32,150,0,2014,3,17,1009
216,2,40,58,365,3,2014,1,2,886
217,1,51,59,365,1,2017,6,4,843
218,0,2,18,730,0,2017,2,24,665
219,1,4,7,150,1,2016,11,28,966
220,1,4,16,120,0,2015,9,15,1122
221,1,4,3,730,0,2016,5,1,1144
222,1,4,7,21,2,2015,5,10,1172
223,0,2,1,2555,0,2014,3,16,978
224,1,38,60,1095,1,2015,1,14,1106
225,1,4,48,4745,1,2014,9,17,1007
226,0,10,61,365,2,2017,12,10,852
227,0,78,62,1095,4,2014,6,9,665
228,1,4,12,60,0,2018,1,6,764
229,0,79,2,365,1,2015,3,9,1053
230,1,4,63,180,1,2017,2,28,698
231,1,4,64,60,0,2014,8,3,913
232,1,4,3,150,0,2013,12,6,780
233,0,80,2,2190,1,2014,5,9,833
234,1,21,7,21,4,2016,6,13,1169
235,1,4,2,14,2,2015,8,12,859
236,0,81,10,730,4,2017,1,19,930
237,0,82,19,730,0,2013,11,13,544
238,0,60,9,730,0,2015,5,2,1251
239,1,4,30,90,4,2015,6,14,540
240,1,4,12,60,0,2014,6,29,1034
241,1,4,3,730,1,2015,9,1,1034
242,0,32,0,730,0,2016,4,18,0
243,0,83,32,1095,1,2014,1,15,1116
244,1,4,12,300,0,2017,7,30,909
245,2,84,65,730,3,2015,10,15,680
246,1,44,66,60,1,2017,8,4,815
247,0,2,32,210,1,2016,8,22,684
248,1,21,5,60,4,2016,9,9,524
249,0,85,18,2920,0,2016,7,29,1098
250,1,4,12,1095,1,2016,10,10,1149
251,1,21,12,150,0,2016,12,7,858
252,0,77,43,365,1,2015,11,10,1073
253,0,17,10,3285,0,2017,3,7,778
254,0,42,67,1825,0,2015,11,13,878
255,0,86,11,730,0,2014,11,1,920
256,1,38,68,1095,1,2017,3,19,803
257,0,37,14,730,0,2017,6,17,1127
258,0,87,4,60,1,2017,8,4,1011
259,0,41,2,60,0,2014,8,28,1093
260,1,21,5,1825,1,2016,6,11,1019
261,0,37,11,365,1,2016,12,11,992
262,2,7,6,730,3,2015,11,23,937
263,1,4,3,30,3,2014,6,29,1131
264,0,88,4,270,2,2017,7,24,707
265,0,89,10,30,0,2014,10,17,1030
266,1,4,51,30,4,2014,8,26,1146
267,0,90,13,240,4,2017,11,2,1101
268,1,4,17,90,0,2016,7,9,1161
269,0,91,28,1095,1,2014,8,12,915
270,0,92,19,730,2,2013,10,22,815
271,0,2,10,30,4,2017,4,25,880
272,1,4,7,730,2,2013,10,7,961
273,0,93,14,365,1,2016,4,8,853
274,1,38,69,730,1,2015,10,11,582
275,1,4,48,730,3,2015,2,15,540
276,0,94,18,210,4,2014,4,20,683
277,0,95,70,150,1,2015,7,28,1089
278,1,4,71,730,2,2014,5,12,480
279,1,4,3,90,2,2014,5,25,1062
280,0,10,61,730,1,2013,12,23,762
281,1,4,48,35,4,2016,9,21,856
282,2,33,6,730,3,2016,3,14,1034
283,0,17,18,5110,2,2014,6,29,737
284,0,2,6,365,0,2017,9,13,904
285,1,4,36,300,2,2015,4,6,540
286,0,96,42,365,1,2015,11,16,1004
287,0,97,58,90,1,2014,6,16,967
288,0,2,5,2920,0,2016,12,15,641
289,0,93,72,180,2,2016,6,8,965
290,0,32,21,365,1,2017,8,19,759
291,0,17,8,300,0,2014,3,23,911
292,2,7,47,365,3,2014,3,26,1160
293,1,4,12,60,0,2014,8,9,752
294,0,17,0,365,4,2015,11,5,762
295,0,88,6,365,1,2015,12,31,963
296,1,4,31,7,3,2015,6,18,824
297,1,4,3,365,2,2014,8,10,540
298,1,4,73,60,0,2014,8,30,1122
299,1,21,31,7,4,2014,5,16,1076
300,1,4,36,21,2,2015,10,9,834
301,0,63,45,730,1,2016,4,1,1092
302,0,98,4,1095,0,2016,11,25,1065
303,0,17,47,730,1,2014,11,15,908
304,0,57,74,2920,0,2017,8,2,1072
305,0,17,47,180,0,2014,1,27,1113
306,1,4,12,365,0,2016,12,26,910
307,1,4,3,5110,0,2014,6,17,829
308,0,34,0,210,1,2015,1,3,1046
309,0,99,47,30,2,2015,9,14,816
310,0,53,4,365,0,2017,1,16,748
311,1,4,12,210,0,2013,10,13,1105
312,0,57,2,2555,0,2017,2,5,815
313,0,3,6,4745,0,2017,5,17,840
314,0,17,18,1825,0,2015,3,10,506
315,1,4,12,365,1,2016,5,15,1186
316,0,10,28,730,1,2015,7,20,966
317,0,10,10,365,4,2017,10,11,557
318,0,42,0,3285,1,2017,2,15,841
319,0,69,8,365,1,2016,9,12,1151
320,1,4,9,730,0,2013,12,28,1137
321,1,51,12,4745,1,2014,6,16,1229
322,0,100,32,2920,4,2014,5,1,814
323,2,101,75,730,1,2017,3,29,1113
324,0,41,2,365,4,2016,9,19,1097
325,2,7,6,365,3,2015,3,13,588
326,1,4,12,2555,0,2014,4,21,1140
327,1,4,3,365,3,2016,2,22,957
328,1,4,12,730,0,2015,5,9,1099
329,1,4,64,60,1,2014,1,12,1074
330,0,10,61,365,0,2015,5,17,1124
331,1,4,7,21,4,2014,4,26,723
332,0,10,61,330,0,2013,10,23,1046
333,1,4,30,21,3,2016,4,28,1018
334,1,4,5,240,3,2015,2,19,540
335,1,44,3,365,1,2017,8,11,878
336,0,102,76,3650,1,2014,6,25,672
337,0,10,58,1825,1,2017,9,15,886
338,0,55,77,365,1,2014,4,10,1125
339,0,77,14,60,1,2017,7,24,1098
340,0,10,21,1095,4,2017,10,17,1117
341,0,103,5,60,1,2014,1,20,1021
342,3,104,65,365,3,2015,9,16,1172
343,0,57,14,35,2,2014,6,24,994
344,0,105,4,2555,0,2017,10,18,898
345,1,4,16,365,3,2014,2,22,1148
346,0,19,32,4380,1,2017,3,20,811
347,1,4,7,90,0,2017,8,17,700
348,1,51,52,2555,1,2014,9,22,1150
349,1,106,9,365,4,2016,8,13,1003
350,1,4,22,60,1,2013,12,9,873
351,0,19,78,28,4,2014,3,16,961
352,1,4,7,365,1,2016,5,5,1140
353,0,17,5,730,0,2017,9,25,1057
354,0,5,6,4015,1,2014,7,25,630
355,0,10,22,365,1,2016,7,25,1149
356,1,4,15,90,2,2015,2,4,540
357,0,17,8,730,0,2014,9,25,1074
358,0,99,58,730,0,2018,1,30,1001
359,0,17,0,1095,2,2015,9,1,827
360,1,4,15,180,1,2015,10,11,994
361,1,4,2,60,2,2017,11,12,976
362,1,4,48,14,3,2015,9,22,730
363,1,107,63,90,0,2017,10,24,962
364,1,51,17,60,0,2017,7,1,1212
365,0,82,12,210,0,2017,5,19,1117
